date,id_sku,salesvolume
2009-06-10,362058,1
2009-06-10,415514,0
2009-06-10,415824,0
2009-06-11,15604,0
2009-06-11,46902,1
2009-06-11,59042,3
2009-06-11,362058,2
2009-06-11,415514,1
2009-06-11,415824,0
2009-06-12,15604,1
2009-06-12,46902,2
2009-06-12,59042,5
2009-06-12,362058,2
2009-06-12,415514,1
2009-06-12,415824,0
2009-06-13,15604,0
2009-06-13,46902,1
2009-06-13,59042,2
2009-06-13,362058,0
2009-06-13,415514,0
2009-06-13,415824,0
2009-06-14,15604,0
2009-06-14,46902,1
2009-06-14,59042,0
2009-06-14,362058,0
2009-06-14,415514,1
2009-06-14,415824,1
2009-06-15,15604,1
2009-06-15,46902,1
2009-06-15,59042,0
2009-06-15,362058,1
2009-06-15,415514,1
2009-06-15,415824,0
2009-06-16,15604,3
2009-06-16,46902,2
2009-06-16,59042,1
2009-06-16,362058,2
2009-06-16,415514,0
2009-06-16,415824,0
2009-06-17,15604,1
2009-06-17,46902,1
2009-06-17,59042,1
2009-06-17,362058,2
2009-06-17,415514,0
2009-06-17,415824,0
2009-06-18,15604,2
2009-06-18,46902,2
2009-06-18,59042,1
2009-06-18,362058,1
2009-06-18,415514,0
2009-06-18,415824,1
2009-06-19,15604,0
2009-06-19,46902,1
2009-06-19,59042,1
2009-06-19,362058,4
2009-06-19,415514,0
2009-06-19,415824,1
2009-06-20,15604,1
2009-06-20,46902,0
2009-06-20,59042,2
2009-06-20,362058,1
2009-06-20,415514,0
2009-06-20,415824,1
2009-06-21,15604,0
2009-06-21,46902,0
2009-06-21,59042,3
2009-06-21,362058,0
2009-06-21,415514,0
2009-06-21,415824,0
2009-06-22,15604,4
2009-06-22,46902,2
2009-06-22,59042,1
2009-06-22,362058,1
2009-06-22,415514,0
2009-06-22,415824,1
2009-06-23,15604,0
2009-06-23,46902,2
2009-06-23,59042,3
2009-06-23,362058,0
2009-06-23,415514,0
2009-06-23,415824,0
2009-06-24,15604,0
2009-06-24,46902,2
2009-06-24,59042,3
2009-06-24,362058,0
2009-06-24,415514,1
2009-06-24,415824,0
2009-06-25,15604,0
2009-06-25,46902,0
2009-06-25,59042,2
2009-06-25,362058,1
2009-06-25,415514,2
2009-06-25,415824,0
2009-06-26,15604,0
2009-06-26,46902,1
2009-06-26,59042,1
2009-06-26,362058,0
2009-06-26,415514,1
2009-06-26,415824,0
2009-06-27,15604,0
2009-06-27,46902,0
2009-06-27,59042,2
2009-06-27,362058,2
2009-06-27,415514,0
2009-06-27,415824,0
2009-06-28,15604,3
2009-06-28,46902,0
2009-06-28,59042,2
2009-06-28,362058,1
2009-06-28,415514,0
2009-06-28,415824,0
2009-06-29,15604,1
2009-06-29,46902,1
2009-06-29,59042,1
2009-06-29,362058,1
2009-06-29,415514,0
2009-06-29,415824,0
2009-06-30,15604,0
2009-06-30,46902,1
2009-06-30,59042,2
2009-06-30,362058,3
2009-06-30,415514,0
2009-06-30,415824,0
2009-07-01,15604,0
2009-07-01,46902,3
2009-07-01,59042,2
2009-07-01,362058,0
2009-07-01,415514,0
2009-07-01,415824,0
2009-07-02,15604,0
2009-07-02,46902,1
2009-07-02,59042,2
2009-07-02,362058,1
2009-07-02,415514,1
2009-07-02,415824,0
2009-07-03,15604,1
2009-07-03,46902,2
2009-07-03,59042,1
2009-07-03,362058,0
2009-07-03,415514,1
2009-07-03,415824,0
2009-07-04,15604,0
2009-07-04,46902,1
2009-07-04,59042,4
2009-07-04,362058,1
2009-07-04,415514,1
2009-07-04,415824,0
2009-07-05,15604,1
2009-07-05,46902,2
2009-07-05,59042,0
2009-07-05,362058,1
2009-07-05,415514,1
2009-07-05,415824,0
2009-07-06,15604,0
2009-07-06,46902,1
2009-07-06,59042,3
2009-07-06,362058,0
2009-07-06,415514,1
2009-07-06,415824,1
2009-07-07,15604,0
2009-07-07,46902,1
2009-07-07,59042,0
2009-07-07,362058,0
2009-07-07,415514,0
2009-07-07,415824,0
2009-07-08,15604,0
2009-07-08,46902,2
2009-07-08,59042,2
2009-07-08,362058,0
2009-07-08,415514,1
2009-07-08,415824,0
2009-07-09,15604,1
2009-07-09,46902,2
2009-07-09,59042,1
2009-07-09,362058,0
2009-07-09,415514,0
2009-07-09,415824,0
2009-07-10,15604,2
2009-07-10,46902,0
2009-07-10,59042,1
2009-07-10,362058,0
2009-07-10,415514,3
2009-07-10,415824,0
2009-07-11,15604,1
2009-07-11,46902,2
2009-07-11,59042,4
2009-07-11,362058,0
2009-07-11,415514,0
2009-07-11,415824,0
2009-07-12,15604,1
2009-07-12,46902,2
2009-07-12,59042,4
2009-07-12,362058,2
2009-07-12,415514,0
2009-07-12,415824,0
2009-07-13,15604,2
2009-07-13,46902,0
2009-07-13,59042,3
2009-07-13,362058,0
2009-07-13,415514,1
2009-07-13,415824,0
2009-07-14,15604,0
2009-07-14,46902,1
2009-07-14,59042,0
2009-07-14,362058,0
2009-07-14,415514,0
2009-07-14,415824,0
2009-07-15,15604,2
2009-07-15,46902,2
2009-07-15,59042,0
2009-07-15,362058,1
2009-07-15,415514,0
2009-07-15,415824,1
2009-07-16,15604,7
2009-07-16,46902,1
2009-07-16,59042,3
2009-07-16,362058,0
2009-07-16,415514,2
2009-07-16,415824,0
2009-07-17,15604,0
2009-07-17,46902,2
2009-07-17,59042,4
2009-07-17,362058,3
2009-07-17,415514,0
2009-07-17,415824,0
2009-07-18,15604,0
2009-07-18,46902,0
2009-07-18,59042,2
2009-07-18,362058,0
2009-07-18,415514,1
2009-07-18,415824,0
2009-07-19,15604,0
2009-07-19,46902,0
2009-07-19,59042,3
2009-07-19,362058,1
2009-07-19,415514,0
2009-07-19,415824,0
2009-07-20,15604,1
2009-07-20,46902,1
2009-07-20,59042,2
2009-07-20,362058,1
2009-07-20,415514,0
2009-07-20,415824,0
2009-07-21,15604,0
2009-07-21,46902,0
2009-07-21,59042,1
2009-07-21,362058,1
2009-07-21,415514,0
2009-07-21,415824,0
2009-07-22,15604,1
2009-07-22,46902,0
2009-07-22,59042,2
2009-07-22,362058,0
2009-07-22,415514,0
2009-07-22,415824,2
2009-07-23,15604,0
2009-07-23,46902,1
2009-07-23,59042,3
2009-07-23,362058,0
2009-07-23,415514,0
2009-07-23,415824,0
2009-07-24,15604,1
2009-07-24,46902,1
2009-07-24,59042,6
2009-07-24,362058,0
2009-07-24,415514,0
2009-07-24,415824,0
2009-07-25,15604,0
2009-07-25,46902,2
2009-07-25,59042,1
2009-07-25,362058,2
2009-07-25,415514,0
2009-07-25,415824,1
2009-07-26,15604,1
2009-07-26,46902,0
2009-07-26,59042,1
2009-07-26,362058,2
2009-07-26,415514,0
2009-07-26,415824,0
2009-07-27,15604,0
2009-07-27,46902,1
2009-07-27,59042,0
2009-07-27,362058,1
2009-07-27,415514,0
2009-07-27,415824,0
2009-07-28,15604,0
2009-07-28,46902,0
2009-07-28,59042,1
2009-07-28,362058,2
2009-07-28,415514,0
2009-07-28,415824,1
2009-07-29,15604,1
2009-07-29,46902,0
2009-07-29,59042,1
2009-07-29,362058,1
2009-07-29,415514,0
2009-07-29,415824,0
2009-07-30,15604,1
2009-07-30,46902,2
2009-07-30,59042,2
2009-07-30,362058,0
2009-07-30,415514,0
2009-07-30,415824,0
2009-07-31,15604,2
2009-07-31,46902,0
2009-07-31,59042,2
2009-07-31,362058,0
2009-07-31,415514,0
2009-07-31,415824,0
2009-08-01,15604,1
2009-08-01,46902,0
2009-08-01,59042,4
2009-08-01,362058,1
2009-08-01,415514,1
2009-08-01,415824,0
2009-08-02,15604,0
2009-08-02,46902,1
2009-08-02,59042,0
2009-08-02,362058,1
2009-08-02,415514,0
2009-08-02,415824,0
2009-08-03,15604,2
2009-08-03,46902,0
2009-08-03,59042,0
2009-08-03,362058,0
2009-08-03,415514,0
2009-08-03,415824,0
2009-08-04,15604,1
2009-08-04,46902,2
2009-08-04,59042,3
2009-08-04,362058,1
2009-08-04,415514,0
2009-08-04,415824,0
2009-08-05,15604,1
2009-08-05,46902,0
2009-08-05,59042,1
2009-08-05,362058,0
2009-08-05,415514,0
2009-08-05,415824,0
2009-08-06,15604,1
2009-08-06,46902,2
2009-08-06,59042,0
2009-08-06,362058,1
2009-08-06,415514,0
2009-08-06,415824,1
2009-08-07,15604,2
2009-08-07,46902,3
2009-08-07,59042,6
2009-08-07,362058,1
2009-08-07,415514,0
2009-08-07,415824,0
2009-08-08,15604,0
2009-08-08,46902,0
2009-08-08,59042,1
2009-08-08,362058,3
2009-08-08,415514,0
2009-08-08,415824,1
2009-08-09,15604,0
2009-08-09,46902,0
2009-08-09,59042,3
2009-08-09,362058,1
2009-08-09,415514,0
2009-08-09,415824,0
2009-08-10,15604,0
2009-08-10,46902,2
2009-08-10,59042,1
2009-08-10,362058,0
2009-08-10,415514,0
2009-08-10,415824,0
2009-08-11,15604,1
2009-08-11,46902,0
2009-08-11,59042,3
2009-08-11,362058,2
2009-08-11,415514,0
2009-08-11,415824,0
2009-08-12,15604,1
2009-08-12,46902,1
2009-08-12,59042,0
2009-08-12,362058,1
2009-08-12,415514,0
2009-08-12,415824,1
2009-08-13,15604,0
2009-08-13,46902,0
2009-08-13,59042,3
2009-08-13,362058,1
2009-08-13,415514,0
2009-08-13,415824,0
2009-08-14,15604,1
2009-08-14,46902,0
2009-08-14,59042,7
2009-08-14,362058,2
2009-08-14,415514,0
2009-08-14,415824,0
2009-08-14,419020,2
2009-08-15,15604,0
2009-08-15,46902,3
2009-08-15,59042,0
2009-08-15,362058,0
2009-08-15,415514,0
2009-08-15,415824,0
2009-08-15,419020,1
2009-08-16,15604,1
2009-08-16,46902,2
2009-08-16,59042,2
2009-08-16,362058,0
2009-08-16,415514,1
2009-08-16,415824,0
2009-08-16,419020,0
2009-08-17,15604,1
2009-08-17,46902,0
2009-08-17,59042,1
2009-08-17,362058,2
2009-08-17,415514,0
2009-08-17,415824,0
2009-08-17,419020,2
2009-08-18,15604,1
2009-08-18,46902,1
2009-08-18,59042,2
2009-08-18,362058,1
2009-08-18,415514,0
2009-08-18,415824,0
2009-08-18,419020,0
2009-08-19,15604,3
2009-08-19,46902,0
2009-08-19,59042,3
2009-08-19,362058,2
2009-08-19,415514,0
2009-08-19,415824,1
2009-08-19,419020,2
2009-08-20,15604,0
2009-08-20,46902,3
2009-08-20,59042,3
2009-08-20,415514,0
2009-08-20,415824,0
2009-08-20,419020,0
2009-08-21,15604,4
2009-08-21,46902,1
2009-08-21,59042,1
2009-08-21,415514,0
2009-08-21,415824,0
2009-08-21,419020,1
2009-08-22,15604,2
2009-08-22,46902,0
2009-08-22,59042,1
2009-08-22,415514,0
2009-08-22,415824,0
2009-08-22,419020,1
2009-08-23,15604,0
2009-08-23,46902,2
2009-08-23,59042,0
2009-08-23,415514,0
2009-08-23,415824,0
2009-08-23,419020,1
2009-08-24,15604,0
2009-08-24,46902,0
2009-08-24,59042,1
2009-08-24,415514,0
